homograph,word acc,phone acc,stress acc,syl acc,count
CONFLICT,1.0,1.0,1.0,1.0,9
DUPLICATE,0.5,0.5,1.0,1.0,10
WIND,1.0,1.0,1.0,1.0,12
INSERT,1.0,1.0,1.0,1.0,8
PRECIPITATE,1.0,1.0,1.0,1.0,8
INTERCHANGE,1.0,1.0,1.0,1.0,10
MINUTE,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,12
DOCUMENT,1.0,1.0,1.0,1.0,7
CONSUMMATE,0.16666666666666666,0.16666666666666666,1.0,1.0,6
RECORD,1.0,1.0,1.0,1.0,7
LIVES,0.5,0.5,1.0,1.0,14
AGED,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,12
CONGLOMERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
BUFFET,1.0,1.0,1.0,1.0,10
CONTENT,0.5833333333333334,0.5833333333333334,0.5833333333333334,1.0,12
MATE,1.0,1.0,1.0,1.0,11
TRANSPORT,0.9,1.0,0.9,1.0,10
IMPACT,1.0,1.0,1.0,1.0,9
PERFECT,1.0,1.0,1.0,1.0,13
PREDICATE,1.0,1.0,1.0,1.0,12
ISOLATE,1.0,1.0,1.0,1.0,9
ABUSES,0.8888888888888888,0.8888888888888888,1.0,1.0,9
PIGMENT,1.0,1.0,1.0,1.0,7
PROJECT,1.0,1.0,1.0,1.0,12
IMPORT,1.0,1.0,1.0,1.0,10
CONVERT,0.8,0.8,0.8,1.0,10
SYNDICATE,0.9166666666666666,0.9166666666666666,1.0,1.0,12
INCREMENT,0.9090909090909091,0.9090909090909091,1.0,1.0,11
LEAD,0.6428571428571429,0.6428571428571429,1.0,1.0,14
INTIMATE,1.0,1.0,1.0,1.0,10
READING,0.8,0.8,1.0,1.0,10
INCENSE,1.0,1.0,1.0,1.0,11
RESUME,1.0,1.0,1.0,1.0,11
EXTRACT,1.0,1.0,1.0,1.0,10
JOB,1.0,1.0,1.0,1.0,11
SEPARATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
AFFECT,1.0,1.0,1.0,1.0,8
PROGRESS,1.0,1.0,1.0,1.0,10
REBEL,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
COMPRESS,1.0,1.0,1.0,1.0,9
DEFECT,0.9,0.9,0.9,1.0,10
COMBINE,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
INTRIGUE,1.0,1.0,1.0,1.0,10
