correct?, sentence, homograph, predicted pronunciation
t,206054,perhaps sue was thus venturesome with men because she was childishly ignorant of that side of their natures which wore out women's hearts and lives,LIVES, 1 l ai v z
t,142908,she got easily out of its lattice and on to the ground by means of the fir tree close by,CLOSE, 1 k l ou s
f,142149,i will not bend my head said the buckwheat then the old willow tree spoke close your flowers and bend your leaves do not look at the lightning when the cloud bursts even men cannot do that the sight of heaven would strike them blind,CLOSE, 1 k l ou s
t,48358,thus if a native is asked the distance to a certain village his answer will be one of these four close up long way little bit long way big bit or long way too much,CLOSE, 1 k l ou s
t,34334,transported with joy strove to break it but he could not succeed in despair he wished to approach near it so as at least to speak to the princess who on her part stretched her hand close to the crystal wall of the palace he was very anxious to kiss her hand,CLOSE, 1 k l ou s
t,5796,a tall man in a black robe stood by his shoulder and pointed to the half open door into the hall this man was shouting close to his ear and yet what was said was indistinct because of the tremendous uproar from the great theatre,CLOSE, 1 k l ou s
t,140832,his weight told and he dragged her up from the hole and they fell together on the floor outside the zone of slipperiness in a moment he had raised her up and together they rushed out through the open door into the sunlight sir nathaniel close behind them,CLOSE, 1 k l ou s
t,132316,i ran along the subway after him it was very curious he'd been walking close to the white tiled wall and i saw him suddenly stop but he didn't turn he didn't even turn when i pulled up close behind him,CLOSE, 1 k l ou s
f,142518,just as i was setting off we heard two pistol cracks muffled but the noise from cartridges such as we carried nevertheless i grasped my weapon and started downstairs as i reached the top of the landing i heard the cellar door close with a bang on the floor below,CLOSE, 1 k l ou s
t,109469,and the little sister put her ear to the ground and heard the broom sweeping the earth close behind them so quick as thought she threw the comb down on the ground and in an instant as the cat had said,CLOSE, 1 k l ou s
t,170452,interrupted though they had not in general been on very friendly terms with each other they began to draw close together,CLOSE, 1 k l ou s
t,167362,we'll be there in less than five minutes where are you going to buy provisions yes dick made off followed not only by sam but likewise by tom he found a large grocery close at hand,CLOSE, 1 k l ou s
t,58651,and eve while scorning the idea that she could leave him alone with the influence of the forest all about him to have its unimpeded way she felt the pangs of that subtle jealousy bite keen and close he loved the forest better than herself,CLOSE, 1 k l ou s
t,198315,and buy a big sixteen cylinder pope gregory this car as i afterward learned was so vicious that the very first time she took it out for an airing it assaulted three helpless chickens and a pig,LEARNED, 1 l @@r n d
t,92638,but david had learned not to trust him he sought a home among the philistines and helped them in their wars they treated him with great kindness and their king became his true friend not long after this the philistines went out to battle against saul,LEARNED, 1 l @@r n d
t,52355,and therein he learned some of his first lessons in that accuracy of observation essential to his later life work here in this trained but untrammeled boyhood with an inherited incentive to labor and an educated thirst for knowledge,LEARNED, 1 l @@r n d
t,87099,she should have learned a lesson from her adventure in the air with the man but the qualifications were lacking her senses and her power of discrimination however had become keener and she grew more timid and watchful in regard to splashing and noise,LEARNED, 1 l @@r n d
t,159455,and his master was notified of his capture he was a mulatto negro and his master who was his father sent for him at colonel singleton's plantation but i never learned whether mister black the hunter was ever paid for capturing him,LEARNED, 1 l @@r n d
t,93516,he had learned the art of quartering himself upon the enemy while the butler brought his supper he occupied himself in making his preparations for a comfortable night,LEARNED, 1 l @@r n d
t,22952,he explained that he had heard about that school as by this time almost every one in the green forest and on the green meadows had by chance he learned that danny meadow mouse was attending he thought that if it was a good thing for danny it would be a good thing for him,LEARNED, 1 l @@r n d
t,190931,i opened the trap and looked down but quickly shut it again when i felt the air rushing out of the ship into the rarefied atmosphere in a torrent gibbons literally yelled a protest from his instrument board i forgot i mumbled,PROTEST, 1 p r ou - 0 t e s t
t,145396,he found however a little side door open and through this he went and stepped into our new market of the present time it was a huge desolate plain some wild bushes stood up here and there while across the field flowed a broad canal or river,PRESENT, 1 p r e - 0 z n! t
t,52066,been the daughter of one of the colleagues of our present prime minister the gentleman who fired the pistol another of them and the presumed lover who was fired at also another we think that we need hardly answer that question,PRESENT, 1 p r e - 0 z n! t
t,87535,with the nature of present social life one the implications of human association society is one word but many things men associate together in all kinds of ways and for all kinds of purposes,PRESENT, 1 p r e - 0 z n! t
t,25258,so dangerous is it to introduce this idea of necessity into the present question and so naturally does it afford an inference directly opposite to the religious hypothesis,PRESENT, 1 p r e - 0 z n! t
t,131175,fully certified of his own superiority and took his measures with peregrine touching the prosecution of their scheme while his opponent made a report of his success to the brethren of the gang who resolved to be present at the decision of the match,PRESENT, 1 p r e - 0 z n! t
t,190078,but now people know better our present printed characters the very characters now under the reader's eye were ultimately developed from those old irish roman letters,PRESENT, 1 p r e - 0 z n! t
t,161763,well i'll expect you on monday remember yes sir said bertie happily he was not likely to forget as he went out amy came through the hall with a red sled here is william john's present i've tied all the other things on so that they can't fall off,PRESENT, 1 p r e - 0 z n! t
t,152031,he was ashamed however to dwell on such trivialities and thus to swell a gnat into an elephant but for his own part would only add that he had nothing deceitful or double about him neither was he to be caught when present by the false blandishments of those who slandered him in his absence,PRESENT, 1 p r e - 0 z n! t
t,470,little however for the present had come of his offers and it may be confided to the reader that if the young man delayed to carry them out it was because he found the labour of providing for his companion by no means so severe as to require extraneous help,PRESENT, 1 p r e - 0 z n! t
t,18894,but letting this matter pass for the present i will merely observe that from the first moment of his setting foot within the limits of the university he began to exercise over the habits,PRESENT, 1 p r e - 0 z n! t
t,126534,i received this magnificent present quite at a loss to find words to thank my mistress with for the honour she had done me,PRESENT, 1 p r e - 0 z n! t
t,120765,and the shortest to nine there are in the island at present following the number of the books in which the divine law was written,PRESENT, 1 p r e - 0 z n! t
t,191772,shields a veteran of the mexican war himself was not present at this moment but kimball commanding in his absence was alert and did not share the general belief that stonewall jackson might be considered non existent harry,PRESENT, 1 p r e - 0 z n! t
t,51918,and for instance become national property he had been present at the avatars of consolidated three per cents and he had no great faith in the great book of the public debt,PRESENT, 1 p r e - 0 z n! t
t,36582,as he wears at present it must also be remarked that if the young gentlemen and ladies soon grew weary as indeed they did of such a rough play fellow he in his turn,PRESENT, 1 p r e - 0 z n! t
t,81613,so that this consciousness not reaching to any of the actions of either of those men he is no more one self with either of them than of the soul of immaterial spirit that now informs him had been created and began to exist when it began to inform his present body,PRESENT, 1 p r e - 0 z n! t
t,29450,like a thing read in a book or remembered out of the faraway past like a tide of triumph through their veins the red rejoicing blood began to race like a triumphing fire the news was borne,READ, 1 r e d
t,50856,with regard to the better part of his bounty to me incomparable missus pamela the wicked brute fell a laughing when she had read this letter till her fat sides shook said she,READ, 1 r e d
t,43381,this excellent workman received a short time ago a very kind letter from the superintendent of the royal household which i read he offered to use all his influence with the ministers,READ, 1 r e d
t,29745,he had heard or read of a family of boys living just like us in some wild isolated land where there were no schools or teachers and no newspapers who amused themselves by writing a journal of their own which was issued once a week,READ, 1 r e d
t,110976,and slowly there arose a dense cloud of dark red smoke that nearly filled the room had sir norman ever read the story of aladdin he would probably have thought of it then but the young courtier did not greatly affect literature of any kind,READ, 1 r e d
t,60163,and the storm lessened its violence the wind veered southward and was once more favourable,WIND, 1 w i n d
t,159604,cast into the air and thrown about as during an eruption we were happily a little out of the direction of the wind,WIND, 1 w i n d
t,202091,and called on his crew to quit themselves like men and when the wind went down he ordered small boats out to tow the golden hind for five days the hunt lasted never slackening by day or by night and when at three in the afternoon of a day in march,WIND, 1 w i n d
t,186504,only the cold north westerly wind blew in in gusts,WIND, 1 w i n d
t,162686,wyoming montana also extending up into british america this wind which is here called chinook,WIND, 1 w i n d
t,169329,will be always lovely i tremble with pleasure when i think that on the very day of my leaving prison both the laburnum and the lilac will be blooming in the gardens and that i shall see the wind stir into restless beauty the swaying gold of the one,WIND, 1 w i n d
t,123774,i have not been far from the hut but had a great fear on one occasion that the ice had gone out in the strait the wind is dropping this evening and i have been up to wind vane hill i now think the ice has remained fast,WIND, 1 w i n d
t,120526,to get away from you she answered but this expressed only a little of what she felt the rest was that she had never been loved before she had believed it but this was different this was the hot wind of the desert,WIND, 1 w i n d
t,2397,the coolness of a water lily rounding into bloom is different from the coolness of an evening wind in summer and different again from the coolness of the rain that soaks into the hearts of growing things and gives them life and body,WIND, 1 w i n d
t,162683,but by a violent compression there is a peculiar wind that occurs in switzerland often between the months of november and march these winds last from two to three days and are of great violence especially near the mountains,WIND, 1 w i n d
t,64891,but all the while had let the cubs frisk round him each one a proof that a dog fox had been at work with his vixen yes jealousy was now in the wind and every circumstance which had been a reason for his felicity the night before was now turned into a monstrous feature of his nightmare,WIND, 1 w i n d
t,101403,the wind was blowing hard outside and every now and then the hail came in deafening rattles against the little windows and descending the wide chimney danced on the floor about the hearth but not a thought of the long stormy way between us and home,WIND, 1 w i n d
f,51482,and if you are still of the same opinion then you are wasting your time in following me farther for a material dealer to advance this theory i can find some excuse he is an interested party and the selling of material is his bread and butter,EXCUSE, 0 i k - 1 s k y uu s
f,146387,i do not know that i approve of the suggestion myself but in order to bring it before the committee for debate i am willing to make a motion that the request be granted excuse me put in doctor johnson,EXCUSE, 0 i k - 1 s k y uu s
t,185406,thought himself obliged by this confession to pronounce the marriage null and invalid henry in the transports of his fury did not perceive,INVALID, 0 i n - 1 v a - 0 l i d
t,127376,slipping on a new record the notes of auld lang syne stole out they gathered round holding hands while they sang it singing with all their lungs and all their hearts,RECORD, 1 r e - 0 k oo d
t,150341,the only record i have with me explained the phonograph,RECORD, 1 r e - 0 k oo d
t,165731,early in the action his horse was killed under him and the christian chiefs made haste to present him another one also a suit of armor more worthy of the heroic soldier he had proved himself to be all that day the battle raged,PRESENT, 0 p r i - 1 z e n t
t,87388,stubbornness shows itself even more in reluctance to criticize ends which present themselves than it does in,PRESENT, 0 p r i - 1 z e n t
t,40865,yet i have no doubt that a very large proportion of those who are opposed to socialism are still content with this way of disposing of it but socialism has steadily though of course with fluctuations,CONTENT, 0 k @ n - 1 t e n t
t,106464,and now that margaret was there and had taken a chair by her bessy lay back silent and content to look at margaret's face and touch her articles of dress with a childish admiration of their fineness of texture,CONTENT, 0 k @ n - 1 t e n t
f,28665,the two bills had a common origin and to a great extent a common object they were framed at the same time and laid aside at the same time they sank together into oblivion,OBJECT, 0 @ b - 1 jh e k t
t,171126,do you object went on the general taking out a silver cigarette case may i offer one he handed round the box affably we do not smoke on duty,OBJECT, 0 @ b - 1 jh e k t
