sentence, predicted pronunciation
bestowing a rich aunt and sinking half the children he was able to represent the whole family to the general in a most respectable light for catherine however the peculiar object of the general's curiosity,OBJECT, 0 @ b - 1 jh e k t
he is neither a count nor of noble family although i suppose when you met him in new york he had an object in posing as a titled aristocrat the girl paused examining the point of her pen thoughtfully,OBJECT, 0 @ b - 1 jh e k t
though so anxious also that something of his love should remain with herself she was quite willing to convey that message if it might be done without offence to the duke she was there with the object of ingratiating herself with the duke,OBJECT, 0 @ b - 1 jh e k t
and on hearing her adventure the maid of honour told her she must never again venture out but the princess replied it is no use talking thus when i am a fawn this room is stifling to me and i must depart from it,USE, 1 y uu z
and two or three men wounded in taking this ship they damaged their own so much by springing their foremast carrying away their bowsprit and beating in part of their upper works that they did not think her longer fit for their use,USE, 1 y uu z
stood by him at the bar they read as well as they could some notes which he had set down and examined his witnesses it was to little purpose,READ, 1 r ii d
what do i think said albert evidently surprised at such a question from his companion i think he is a delightful fellow who does the honors of his table admirably who has travelled much read much,READ, 1 r ii d
and lock myself up in my room and read it twenty four september i hadn't the heart to write last night that terrible record of jonathan's upset me so,READ, 1 r ii d
the city was crowded with coloured people many of whom had recently come from the south a large proportion of these people had been drawn to washington because they felt that they could lead a life of ease there,LEAD, 1 l e d
when however he had toiled up the hillside to the earth taking infinite precaution not to tread down the bracken or make a beaten path which might lead others to that secret spot,LEAD, 1 l e d
i don't think you understand this man wants to lead a decent life and he can't because there's no way for him to earn a living i understand all that samuel,LEAD, 1 l e d
ah though she knew it not he was then lying cold in death upon the bloody field of shiloh there had been news now and then from their northern friends and relatives richard allison had recovered from his wound and was again in the field,WOUND, 1 w ow n d
and prayed bird of heavenly pity here by each labour prayer and tear come in thine unvanquished power come and aid us in this hour,TEAR, 1 t eir
we must make our lives larger than the field of dollars and cents the charity that develops in us will make us truly generous and free from the reaction of hardness it is a great temptation to go on multiplying the rules of the game,LIVES, 1 l i v z
for the regent has lately laid very severe restraints on the articles of dress which the middling class of people found grievous because it obliged them to throw aside finery that might have lasted them for their lives these may be termed vexatious,LIVES, 1 l i v z
my brother as you have heard me talk about lives close by here we will go and dine with him he being a married man and with a comfortable home he will be glad to see us well i didn't know what to do not liking to have no quarrel with him in the street,LIVES, 1 l i v z
and live sumptuously for him on the remainder well on second thoughts a bishop was absurd he would draw the line at an archdeacon,LIVE, 1 l ai v
more than to his heart's content and then patriotically decorated in his right ear was a red ribbon in his left a white one around his neck another of blue,CONTENT, 1 k o n - 0 t e n t
since they even conflict with it i also set aside those actions which really conform to duty but to which men have no direct inclination,CONFLICT, 1 k o n - 0 f l i k t
what are its uses the nutmeg is much used in our food and is of excellent virtue as a medicine it also yields an oil of great fragrance is the mace used as a spice,USES, 1 y uu z - 0 i z
he saw some pigeons on the roof drawing his bow he shot one and it came fluttering past the window the white hind looked out and lo there was the king's son alive and well,BOW, 1 b ow
it would be a different thing altogether then it would all be nice and compact the question of buying freehold land recurred to him again and again he went on in the same way for three years renting land and sowing wheat,COMPACT, 1 k o m - 0 p a k t
the shaft horse swung steadily beneath the bow over its head with no thought of slackening pace and ready to put on speed when required nicholas overtook the first sleigh,BOW, 1 b ou
yes sir i have come said sir norman with a polite bow perhaps you don't know me my dear young sir your little friend you know of the golden crown oh i perfectly recognize you my little friend,BOW, 1 b ou
the man she had guiltily and yet how naturally loved was lord and master in her heart doubt him as she might even in his absence he pleaded with her to have some faith in him still she reviewed his language and his conduct toward her,CONDUCT, 0 k @ n - 1 d uh k t
